e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
2.4324508,-1.7580993,6.0067835,5.651432,0.36661667,8.358108,-1.7562448,-1.7580992,1.905958,1.4359384,6.037927,4.6760254,6.8597684,-0.33984712,9.715447
4.6811695,-1.7580993,2.6040008,2.5693798,5.9067116,-1.4513419,-1.7580993,-1.757946,3.4045205,0.9750903,2.2746425,8.283263,4.5570903,5.0421004,4.635953
8.078698,-1.7580993,5.7585053,2.9718347,6.170539,5.182624,-1.7580795,-1.4932569,8.556584,5.1878996,8.157835,11.616993,9.397989,10.808036,6.5070786
11.483287,-1.7580993,1.5911912,4.193194,5.123822,4.618047,-1.7580993,-1.7580993,-1.2128085,4.283663,1.2175593,10.472578,10.5882015,5.028764,6.5367203
8.102135,-1.7580993,3.0707948,2.6860738,7.318679,-0.20414491,-1.7580993,-1.758099,5.6028357,2.4527059,0.24774086,6.794141,6.631253,6.100998,5.0273714
5.497292,-1.7580993,0.9888195,5.773615,10.210127,4.7618937,-1.7580992,-1.7580993,9.67759,3.106146,3.606817,11.51617,12.880496,5.87299,5.645514
10.085358,-1.7580993,6.762745,6.7474475,11.779354,0.11948789,-1.7580993,-1.7580991,7.060398,3.5173054,4.7939153,13.01078,9.314544,6.9723325,5.066765
10.930743,-1.7580993,6.027806,9.609912,9.733715,1.1595733,-1.7580993,-1.757934,4.887841,2.7368033,3.9794922,6.3607745,9.438851,9.372752,10.834139
4.408546,-1.7513055,6.4653015,8.910489,0.6225667,3.6944022,-1.7580669,-1.7580993,7.50464,-0.104518116,1.8495176,1.9390131,8.397727,-1.1240628,8.355501
-1.7103907,-1.7580993,8.132184,1.9298671,1.3935083,5.537403,-1.7580847,-1.7580993,2.5037868,0.6309996,-0.7187399,3.0251153,2.9092808,3.0605636,7.9642615
16.676218,-1.7580993,11.6884575,7.5686264,12.420594,4.6081085,-1.7580993,-1.7580993,9.469388,5.4500275,3.6185358,11.732919,11.716998,10.245744,19.198183
5.185732,-1.7580993,5.991249,3.26771,10.160102,1.769416,-1.7580993,-1.7580992,4.958444,5.109021,4.0087085,7.123439,13.249997,6.7146573,7.5807233
12.403758,-1.7580984,7.3554544,6.484847,14.746721,4.7473683,-1.7580993,-1.7580993,5.2780137,1.3644176,5.118318,9.44233,7.471421,4.0959086,2.3155723
12.07889,-1.7580993,-1.3512764,14.6968975,5.69161,-1.0945619,-1.7580993,-1.7580993,3.3858697,-1.5434484,-1.4013252,7.527033,9.745515,3.0491292,8.041634
13.893559,-1.7580993,9.328138,1.212299,7.299509,2.9382956,-1.7580993,-1.7580992,2.9247684,2.9237475,5.4310236,6.6259975,11.992475,13.398292,6.1514254
