e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
2.3572602,4.388245,5.4029255,4.932721,11.883974,3.3338027,-1.7503457,-1.7580992,4.7483635,2.2579918,1.4199814,3.9553096,5.1076264,4.0990405,0.62503976
3.684784,1.2204522,6.9190993,6.2820506,2.275877,2.0082643,-1.7580993,-1.7578213,8.150367,10.472251,3.7199037,17.938276,6.972023,2.1396275,1.4370362
3.4365942,0.025399914,9.381079,4.8954396,6.514001,2.334669,-1.7580993,-1.7580541,9.149882,10.8179865,5.139065,17.067852,2.7249742,4.2338758,0.5032872
2.66935,2.2859075,3.1586854,3.0397372,3.8908677,0.25606054,-1.7487532,-1.7580967,10.696987,3.1712763,2.3419166,12.491379,9.882136,-0.6985981,0.43326226
5.160673,1.8186507,3.680131,4.580452,1.4627119,1.7297473,-1.7580993,-1.7560706,3.8912053,8.988322,2.439508,15.525747,6.0619507,-0.6508999,0.6594675
0.41074723,4.6081715,4.313025,9.739771,10.359818,3.45207,-1.7580993,-1.7580991,10.258917,11.034322,2.1402988,13.028974,8.646354,-0.18421608,0.10544179
0.5545629,0.77118677,2.555537,1.3648345,5.7699566,0.6063048,-1.7052416,-1.7580793,2.2914326,0.6510527,1.2592226,5.4815207,3.8664393,2.5992167,-0.97688514
0.19118084,0.6486034,5.4898844,3.896972,-0.86787015,2.7282689,-1.7375584,-1.758099,5.2310834,-1.1358012,1.9095939,5.033213,5.9092374,-1.5329369,-0.8725983
5.421131,-1.2492017,10.352616,6.7319026,11.362119,1.0609651,-1.7580993,-1.7580589,6.731054,9.931541,2.6054811,15.163592,6.8760123,7.2435536,0.08964562
-0.8462482,4.9894805,0.19662124,3.5097377,2.659935,2.9586546,-1.7519548,-1.7580984,-0.8688277,3.351074,1.1507809,1.144572,7.739887,1.5226636,-1.4757488
2.8157697,0.81111145,7.3683743,4.1494904,2.0545645,1.5524164,-1.7580993,-1.7576878,7.981122,10.058014,2.7077303,17.507591,6.353598,1.2899393,1.1627964
3.898349,0.95774025,2.5596113,3.5963986,7.865389,2.2242296,-1.7580993,-1.758093,2.9009912,5.33091,2.78756,8.201005,5.7006903,6.120185,-1.2865833
2.8707676,0.8551452,7.4849195,4.8082094,2.0678828,1.3446738,-1.7580993,-1.7577189,8.554917,9.915798,2.4136066,17.32189,5.9096756,1.4640766,1.0120294
3.1605887,4.601062,4.2558274,4.335232,1.9249643,2.6105225,-1.6808631,-1.757962,1.7361578,1.3203526,0.9663206,4.2021313,7.0907326,0.6469298,-0.37512204
1.2479056,-0.052863333,5.575759,4.6622486,1.5590336,2.605241,-1.7580993,-1.7576108,7.339965,7.655598,2.0825372,15.898015,3.5486314,2.4702616,-0.28153202
0.458731,3.8822036,3.509337,2.668548,1.4048756,2.1934583,-1.7369078,-1.7575858,1.2681506,4.5209665,0.3971277,1.1995413,6.1593843,3.4158695,-1.1435593
4.9232097,2.3250508,8.415123,3.904619,1.4177651,1.8062843,-1.7580993,-1.7564856,7.7512927,8.707245,1.3017296,16.013123,2.9754007,3.0863085,1.1734071
5.2699404,3.862111,2.328927,1.2133844,2.9466314,3.9462888,-1.7146226,-1.7580912,7.7606587,6.03949,2.488521,7.7345066,8.040188,3.368407,-0.8761332
5.2551427,10.714301,-0.062018074,2.1444316,2.077017,4.193593,-1.7580993,-1.7574788,3.9599721,6.4286647,1.921846,11.162938,0.96568644,1.1691725,-1.350467
2.2841744,0.52092826,5.890651,4.6988354,6.7393537,0.9755337,-1.6437216,-1.7580044,1.8887575,-0.86516625,0.18939137,1.7488898,0.8531273,0.6858797,-0.7356585
0.061303984,4.083817,7.8901567,1.8079137,4.1801267,2.8231173,-1.5919935,-1.7578108,3.9953923,3.3285675,2.1021104,6.56246,3.8518894,2.0085208,-1.5015863
0.64985466,14.328142,10.240898,7.7549934,5.6221924,2.3576133,-1.7230854,-1.7580942,8.714341,6.279756,1.8603745,10.858812,7.177519,2.573502,-0.34085017
3.0005205,5.2907267,4.0313787,5.587778,2.3503153,3.270586,-1.5542027,-1.7563081,4.72415,7.479825,0.5746385,2.5891912,6.625888,1.5015248,-0.85360044
0.36792997,0.51651245,4.317756,5.0642014,2.0944502,1.1527761,-1.5964344,-1.7580462,3.1253247,0.95962834,0.57448643,1.0947767,1.8266801,2.1613863,-1.188448
3.2341018,0.78291523,7.5129333,4.7708354,1.987436,1.3681643,-1.7580993,-1.7576867,8.643875,9.675084,1.7968384,17.682919,5.9903054,0.8916066,1.1058881
3.2341018,0.78291523,7.5129333,4.7708354,1.987436,1.3681643,-1.7580993,-1.7576867,8.643875,9.675084,1.7968384,17.682919,5.9903054,0.8916066,1.1058881
2.086028,0.5814658,5.366235,4.982247,3.418824,1.6654934,-1.7580993,-1.7571725,4.46896,8.506528,2.454835,14.878952,4.6292243,1.8709618,0.57049966
2.3474193,7.2004523,5.318007,12.308465,6.5767546,1.528762,-1.7486343,-1.758099,3.3869455,0.36181426,0.37443045,3.5921738,5.382883,2.044098,-0.88785315
